100;144
150;138
200;146
250;108
300;110
350;116
400;94
450;141
500;73
550;144
600;90
650;120
700;75
750;78
800;79
850;112
900;109
950;105
1000;86
1050;113
1100;127
1150;145
1200;95
1250;129
1300;111
1350;98
1400;137
1450;100
1500;140
1550;80
1600;137
1650;77
1700;141
1750;115
1800;147
1850;95
1900;92
1950;125
2000;123
2050;144
2100;126
2150;121
2200;109
2250;147
2300;104
2350;132
2400;123
2450;83
2500;70
2550;96
2600;136
2650;70
2700;106
2750;96
2800;121
2850;93
2900;147
2950;83
3000;98
3050;119
3100;84
3150;95
3200;82
3250;112
3300;89
3350;118
3400;102
3450;74
3500;132
3550;89
3600;83
3650;137
3700;142
3750;128
3800;150
3850;85
3900;111
3950;78
4000;108
4050;131
4100;143
4150;129
4200;111
4250;84
4300;96
4350;120
4400;113
4450;142
4500;149
4550;102
4600;142
4650;143
4700;92
4750;76
4800;147
4850;124
4900;102
4950;107
5000;109
5050;138
5100;92
5150;78
5200;150
5250;104
5300;139
5350;83
5400;78
5450;97
5500;114
5550;73
5600;90
5650;131
5700;119
5750;81
5800;109
5850;130
5900;71
5950;100
6000;91
6050;76
6100;141
6150;117
6200;149
6250;138
6300;79
6350;122
6400;125
6450;74
6500;144
6550;114
6600;73
6650;101
6700;145
6750;75
6800;73
6850;96
6900;119
6950;99
7000;122
7050;85
7100;74
7150;133
7200;86
7250;142
7300;80
7350;126
7400;73
7450;84
7500;74
7550;135
7600;97
7650;128
7700;143
7750;108
7800;128
7850;79
7900;96
7950;146
8000;118
8050;96
8100;102
8150;149
8200;71
8250;101
8300;98
8350;112
8400;122
8450;150
8500;138
8550;102
8600;141
8650;71
8700;142
8750;104
8800;89
8850;147
8900;86
8950;143
9000;77
9050;119
9100;111
9150;88
9200;111
9250;147
9300;120
9350;139
9400;131
9450;106
9500;99
9550;105
9600;128
9650;90
9700;91
9750;81
9800;137
9850;104
9900;110
9950;123
10000;90
10050;101
10100;89
10150;84
10200;97
10250;130
10300;110
10350;78
10400;146
10450;134
10500;126
10550;127
10600;107
10650;147
10700;111
10750;93
10800;135
10850;77
10900;86
10950;92
11000;119
11050;94
11100;150
11150;94
11200;112
11250;126
11300;82
11350;87
11400;114
11450;92
11500;127
11550;140
11600;106
11650;85
11700;126
11750;113
11800;125
11850;87
11900;100
11950;101
12000;148
12050;145
12100;144
12150;117
12200;117
12250;99
12300;82
12350;117
12400;94
